ROR,affiliation,pubYear,publicationType,count
00jmfr291,University of Michigan,2013,article,11464
00jmfr291,University of Michigan,2013,review,725
00jmfr291,University of Michigan,2013,preprint,102
00jmfr291,University of Michigan,2014,article,11794
00jmfr291,University of Michigan,2014,review,752
00jmfr291,University of Michigan,2014,preprint,94
00jmfr291,University of Michigan,2015,article,12088
00jmfr291,University of Michigan,2015,review,844
00jmfr291,University of Michigan,2015,preprint,181
00jmfr291,University of Michigan,2016,article,12652
00jmfr291,University of Michigan,2016,review,892
00jmfr291,University of Michigan,2016,preprint,309
00jmfr291,University of Michigan,2017,article,13148
00jmfr291,University of Michigan,2017,review,967
00jmfr291,University of Michigan,2017,preprint,410
00jmfr291,University of Michigan,2018,article,13418
00jmfr291,University of Michigan,2018,review,1096
00jmfr291,University of Michigan,2018,preprint,656
00jmfr291,University of Michigan,2019,article,14124
00jmfr291,University of Michigan,2019,review,1060
00jmfr291,University of Michigan,2019,preprint,919
00jmfr291,University of Michigan,2020,article,15604
00jmfr291,University of Michigan,2020,preprint,1415
00jmfr291,University of Michigan,2020,review,1239
00jmfr291,University of Michigan,2021,article,14485
00jmfr291,University of Michigan,2021,preprint,1491
00jmfr291,University of Michigan,2021,review,1168
00jmfr291,University of Michigan,2022,article,14168
00jmfr291,University of Michigan,2022,preprint,2430
00jmfr291,University of Michigan,2022,review,1116
00jmfr291,University of Michigan,2023,article,14630
00jmfr291,University of Michigan,2023,preprint,1680
00jmfr291,University of Michigan,2023,review,1122
00jmfr291,University of Michigan,2024,article,13428
00jmfr291,University of Michigan,2024,preprint,1395
00jmfr291,University of Michigan,2024,review,1021
013q1eq08,Fudan University,2013,article,6581
013q1eq08,Fudan University,2013,review,217
013q1eq08,Fudan University,2013,preprint,8
013q1eq08,Fudan University,2014,article,6816
013q1eq08,Fudan University,2014,review,296
013q1eq08,Fudan University,2014,preprint,17
013q1eq08,Fudan University,2015,article,7296
013q1eq08,Fudan University,2015,review,266
013q1eq08,Fudan University,2015,preprint,19
013q1eq08,Fudan University,2016,article,7471
013q1eq08,Fudan University,2016,review,346
013q1eq08,Fudan University,2016,preprint,25
013q1eq08,Fudan University,2017,article,8127
013q1eq08,Fudan University,2017,review,345
013q1eq08,Fudan University,2017,preprint,61
013q1eq08,Fudan University,2018,article,8834
013q1eq08,Fudan University,2018,review,364
013q1eq08,Fudan University,2018,preprint,132
013q1eq08,Fudan University,2019,article,10193
013q1eq08,Fudan University,2019,review,454
013q1eq08,Fudan University,2019,preprint,334
013q1eq08,Fudan University,2020,article,11460
013q1eq08,Fudan University,2020,preprint,1155
013q1eq08,Fudan University,2020,review,630
013q1eq08,Fudan University,2021,article,12799
013q1eq08,Fudan University,2021,preprint,963
013q1eq08,Fudan University,2021,review,677
013q1eq08,Fudan University,2022,article,14952
013q1eq08,Fudan University,2022,preprint,1362
013q1eq08,Fudan University,2022,review,892
013q1eq08,Fudan University,2023,article,14512
013q1eq08,Fudan University,2023,preprint,1450
013q1eq08,Fudan University,2023,review,757
013q1eq08,Fudan University,2024,article,14282
013q1eq08,Fudan University,2024,preprint,1158
013q1eq08,Fudan University,2024,review,605
052gg0110,University of Oxford,2013,article,10132
052gg0110,University of Oxford,2013,review,782
052gg0110,University of Oxford,2013,preprint,182
052gg0110,University of Oxford,2014,article,10571
052gg0110,University of Oxford,2014,review,867
052gg0110,University of Oxford,2014,preprint,301
052gg0110,University of Oxford,2015,article,11202
052gg0110,University of Oxford,2015,review,992
052gg0110,University of Oxford,2015,preprint,374
052gg0110,University of Oxford,2016,article,11519
052gg0110,University of Oxford,2016,review,1046
052gg0110,University of Oxford,2016,preprint,568
052gg0110,University of Oxford,2017,article,12092
052gg0110,University of Oxford,2017,review,1178
052gg0110,University of Oxford,2017,preprint,840
052gg0110,University of Oxford,2018,article,12661
052gg0110,University of Oxford,2018,review,1235
052gg0110,University of Oxford,2018,preprint,1204
052gg0110,University of Oxford,2019,article,13279
052gg0110,University of Oxford,2019,preprint,1595
052gg0110,University of Oxford,2019,review,1276
052gg0110,University of Oxford,2020,article,15042
052gg0110,University of Oxford,2020,preprint,2830
052gg0110,University of Oxford,2020,review,1575
052gg0110,University of Oxford,2021,article,15523
052gg0110,University of Oxford,2021,preprint,3261
052gg0110,University of Oxford,2021,review,1655
052gg0110,University of Oxford,2022,article,14670
052gg0110,University of Oxford,2022,preprint,3892
052gg0110,University of Oxford,2022,review,1536
052gg0110,University of Oxford,2023,article,14263
052gg0110,University of Oxford,2023,preprint,2949
052gg0110,University of Oxford,2023,review,1571
052gg0110,University of Oxford,2024,article,12906
052gg0110,University of Oxford,2024,preprint,2462
052gg0110,University of Oxford,2024,review,1176
