dataset,publication,publishedDate,source,affiliation,subjects,openAlexTopics,openAlexSubfields,openAlexFields,openAlexDomains
https://doi.org/10.6084/m9.figshare.14564332.v1,https://doi.org/10.1080/0886022x.2021.1920427,2021-05-10T00:00:00Z,datacite,Fudan University,NA,Blood Pressure and Hypertension Studies; Cardiovascular Health and Disease Prevention; Cardiovascular Syncope and Autonomic Disorders,Cardiology and Cardiovascular Medicine; Surgery,Medicine,Health Sciences
GSE10927,https://doi.org/10.1038/s41416-019-0538-y,2019-07-31T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,"Adrenal and Paraganglionic Tumors; Glioma Diagnosis and Treatment; Cancer, Hypoxia, and Metabolism",Surgery; Genetics; Cancer Research,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
GSE106182,https://doi.org/10.1016/j.molcel.2018.05.022,2018-06-01T00:00:00Z,czi,University of Oxford,biological sciences; basic medicine,Ubiquitin and proteasome pathways; Genomics and Chromatin Dynamics; Signaling Pathways in Disease,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.684mm,https://doi.org/10.1098/rspb.2014.0474,2014-06-22T00:00:00Z,datacite,University of Michigan,NA,Insect and Arachnid Ecology and Behavior; Plant and animal studies; Plant Parasitism and Resistance,"Genetics; Ecology, Evolution, Behavior and Systematics; Plant Science","Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences",Life Sciences
GSE99049,https://doi.org/10.3389/fnins.2019.00829,2019-08-08T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Neurogenesis and neuroplasticity mechanisms; Epigenetics and DNA Methylation; MicroRNA in disease regulation,Developmental Neuroscience; Molecular Biology; Cancer Research,"Neuroscience; Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.3886/icpsr13668,https://doi.org/10.1177/0886260519888528,2019-12-18T00:00:00Z,datacite,University of Michigan,NA,Intimate Partner and Family Violence; Crime Patterns and Interventions; Homelessness and Social Issues,Health; Sociology and Political Science; General Health Professions,Social Sciences; Health Professions,Social Sciences; Health Sciences
https://doi.org/10.5061/dryad.0d6h6j8,https://doi.org/10.1098/rsbl.2019.0763,2020-01-08T00:00:00Z,datacite,University of Oxford,NA,Animal Behavior and Reproduction; Avian ecology and behavior; Fish Ecology and Management Studies,"Ecology, Evolution, Behavior and Systematics; Ecology; Nature and Landscape Conservation",Agricultural and Biological Sciences; Environmental Science,Life Sciences; Physical Sciences
GSE7803,https://doi.org/10.3892/mmr.2015.3363,2015-07-01T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,MicroRNA in disease regulation; Cancer-related molecular mechanisms research; Circular RNAs in diseases,Cancer Research; Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.vn730,https://doi.org/10.3732/ajb.1700083,2017-06-01T00:00:00Z,datacite,University of Michigan,NA,Plant and Biological Electrophysiology Studies; Plant Diversity and Evolution; Plant Parasitism and Resistance,"Plant Science; Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
GSE18384,https://doi.org/10.1186/s12943-017-0673-0,2017-06-15T00:00:00Z,czi,University of Oxford,basic medicine; biological sciences,"Cancer, Hypoxia, and Metabolism; RNA modifications and cancer; Cancer-related molecular mechanisms research",Cancer Research; Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
